ubigeo,ambito,nombre,provincia,departamento,razon,actas_pct,donor_ubigeo,donor_nombre,scope
932401,2,Teheran,Irán,Asia,0% actas contabilizadas,0.0,932501,Singapur,departamento
930603,2,Ramla,Israel,Asia,0% actas contabilizadas,0.0,930704,Okinawa,departamento
933702,2,Abu Dabi,Emiratos Árabes Unidos,Asia,0% actas contabilizadas,0.0,933201,Manila,departamento
933801,2,Doha,Catar,Asia,0% actas contabilizadas,0.0,933201,Manila,departamento
933701,2,Dubái,Emiratos Árabes Unidos,Asia,0% actas contabilizadas,0.0,933201,Manila,departamento
930602,2,Tel Aviv,Israel,Asia,0% actas contabilizadas,0.0,930704,Okinawa,departamento
930703,2,Tokio,Japón,Asia,0% actas contabilizadas,0.0,930704,Okinawa,provincia
930720,2,Saitama,Japón,Asia,0% actas contabilizadas,0.0,930721,Gunma,provincia
931302,2,Amman,Jordania,Asia,0% actas contabilizadas,0.0,931501,Estambul,departamento
932801,2,Al - Kuwait,Kuwait,Asia,0% actas contabilizadas,0.0,933001,Kuala Lumpur,departamento
930801,2,Beirut,Líbano,Asia,0% actas contabilizadas,0.0,930736,Shiga,departamento
940913,2,Mallorca,España,Europa,0% actas contabilizadas,0.0,940911,Málaga,provincia
943601,2,Minsk,Bielorrusia,Europa,0% actas contabilizadas,0.0,942803,Ginebra,departamento
940922,2,Vigo,España,Europa,0% actas contabilizadas,0.0,940920,Valencia,provincia
940917,2,Zaragoza,España,Europa,0% actas contabilizadas,0.0,940918,Sevilla,provincia
941103,2,Estrasburgo,Francia,Europa,0% actas contabilizadas,0.0,941105,Lyon,provincia
941106,2,Marsella,Francia,Europa,0% actas contabilizadas,0.0,941105,Lyon,provincia
940905,2,Salamanca,España,Europa,0% actas contabilizadas,0.0,940903,Bilbao,provincia
940915,2,Tenerife,España,Europa,0% actas contabilizadas,0.0,940918,Sevilla,provincia
941301,2,Atenas,Grecia,Europa,0% actas contabilizadas,0.0,941204,Londres,departamento
941101,2,Burdeos,Francia,Europa,0% actas contabilizadas,0.0,941105,Lyon,provincia
940909,2,Las Palmas,España,Europa,0% actas contabilizadas,0.0,940910,Madrid,provincia
941717,2,Marcas,Italia,Europa,0% actas contabilizadas,0.0,941711,Turín,provincia
941110,2,Toulouse,Francia,Europa,0% actas contabilizadas,0.0,941108,París,provincia
941707,2,Nápoles,Italia,Europa,0% actas contabilizadas,0.0,941706,Milán,provincia
941748,2,Perugia,Italia,Europa,0% actas contabilizadas,0.0,941755,Bolzano,provincia
941710,2,Trieste,Italia,Europa,0% actas contabilizadas,0.0,941711,Turín,provincia
942601,2,Bucarest,Rumanía,Europa,0% actas contabilizadas,0.0,942604,Timisoara,provincia
942901,2,Moscú,Rusia,Europa,0% actas contabilizadas,0.0,942803,Ginebra,departamento
942101,2,La Valetta,Malta,Europa,0% actas contabilizadas,0.0,942001,Luxemburgo,departamento
943701,2,Skopie,Macedonia,Europa,0% actas contabilizadas,0.0,942803,Ginebra,departamento
944202,2,Andorra La Vella,Principado De Andorra,Europa,0% actas contabilizadas,0.0,942803,Ginebra,departamento
942910,2,San Petersburgo,Rusia,Europa,0% actas contabilizadas,0.0,942803,Ginebra,departamento
950102,2,Brisbane,Australia,Oceanía,0% actas contabilizadas,0.0,950201,Auckland,departamento
950104,2,Melbourne,Australia,Oceanía,0% actas contabilizadas,0.0,950201,Auckland,departamento
950103,2,Camberra,Australia,Oceanía,0% actas contabilizadas,0.0,950201,Auckland,departamento
950105,2,Sídney,Australia,Oceanía,0% actas contabilizadas,0.0,950201,Auckland,departamento
950106,2,Perth,Australia,Oceanía,0% actas contabilizadas,0.0,950201,Auckland,departamento
